name,category,calories,protein,carbs,fat,servings,time,difficulty,cost,tags,ingredients,instructions
Βρώμη με Γιαούρτι και Φρούτα,breakfast,350,20,45,8,1,very_fast,very_easy,cheap,breakfast|diabetes-friendly|high-protein|vegetarian|constipation-friendly,Βρώμη:50:g|Γιαούρτι 2%:150:g|Μήλο:100:g,1. Βάλτε τη βρώμη σε ένα μπολ.|2. Προσθέστε το γιαούρτι και ανακατέψτε.|3. Κόψτε το μήλο σε κομματάκια και προσθέστε το από πάνω.
Ομελέτα με Λαχανικά,breakfast,320,22,8,20,1,fast,easy,cheap,breakfast|low-carb|diabetes-friendly|gluten-free|high-protein|ibs-friendly,Αυγά:120:g|Λαχανικά (Πιπεριά/Σπανάκι):50:g|Ελαιόλαδο:5:ml,1. Χτυπήστε τα αυγά σε ένα μπολ.|2. Σοτάρετε ελαφρά τα λαχανικά στο τηγάνι με ελαιόλαδο.|3. Ρίξτε τα αυγά και ψήστε μέχρι να σφίξει η ομελέτα.
Ψωμί ολικής με Ταχίνι και Μέλι,breakfast,380,12,48,16,1,very_fast,very_easy,cheap,breakfast|vegetarian|cholesterol-friendly|constipation-friendly|fasting,Ψωμί Ολικής (ή φρυγανιές):60:g|Ταχίνι:15:g|Μέλι:10:g,1. Αλείψτε το ταχίνι στο ψωμί.|2. Περιχύστε με το μέλι.
Φρούτο και Αμύγδαλα,snack,180,5,20,10,1,very_fast,very_easy,cheap,snack|diabetes-friendly|vegetarian|gluten-free|cholesterol-friendly|nafld-friendly|vegan,Μήλο:120:g|Αμύγδαλα:15:g,1. Πλύντε το φρούτο και καταναλώστε με τους ξηρούς καρπούς.
Γιαούρτι με Καρύδια,snack,200,12,10,12,1,very_fast,very_easy,cheap,snack|high-protein|low-carb|gluten-free|ibs-friendly,Γιαούρτι 2%:150:g|Καρύδια:10:g,1. Προσθέστε τα καρύδια στο γιαούρτι.
Κοτόπουλο Φιλέτο με Ρύζι,main,450,35,45,12,1,moderate,easy,moderate,main|high-protein|easy-digest|gluten-free|ibs-friendly|gastritis-friendly,Κοτόπουλο Στήθος:150:g|Ρύζι Μπασμάτι:60:g|Ελαιόλαδο:10:ml,1. Βράστε το ρύζι.|2. Ψήστε το φιλέτο στο αντικολλητικό ή βράστε το.|3. Σερβίρετε με ελαιόλαδο ωμό στο τέλος.
Μπιφτέκια Μοσχαρίσια με Πατάτες,main,500,30,40,22,1,moderate,moderate,moderate,main|high-protein|kidney-friendly,Κιμάς Μοσχαρίσιος:120:g|Πατάτες:200:g|Ελαιόλαδο:10:ml,1. Ζυμώστε τον κιμά με μπαχαρικά.|2. Κόψτε τις πατάτες κυδωνάτες.|3. Ψήστε στο φούρνο στους 200°C για 45-60 λεπτά.
Φασολάκια Λαδερά,main,400,8,35,25,1,slow,moderate,cheap,main|vegetarian|diabetes-friendly|cholesterol-friendly|gluten-free|constipation-friendly|nafld-friendly|vegan|fasting,Φασολάκια:350:g|Ελαιόλαδο:20:ml|Ντομάτα:100:g,1. Σοτάρετε ελαφρά τα λαχανικά.|2. Προσθέστε την ντομάτα και νερό.|3. Σιγοβράστε για 40-50 λεπτά.
Τσιπούρα Ψητή με Σαλάτα,main,350,35,5,20,1,moderate,easy,expensive,main|high-protein|low-carb|gluten-free|diabetes-friendly|cholesterol-friendly|nafld-friendly,Τσιπούρα:300:g|Μαρούλι:150:g|Ελαιόλαδο:10:ml,1. Αλατίστε το ψάρι και ψήστε στη σχάρα ή στο φούρνο.|2. Ετοιμάστε τη σαλάτα.|3. Σερβίρετε με λαδολέμονο.
Σαλάτα Κινόα με Λαχανικά,main,400,12,50,15,1,fast,easy,expensive,main|vegan|gluten-free|high-protein|cholesterol-friendly,Κινόα:60:g|Ντομάτα:100:g|Ελαιόλαδο:10:ml,1. Βράστε την κινόα.|2. Ψιλοκόψτε τα λαχανικά.|3. Ανακατέψτε όλα τα υλικά μαζί.
Φακές Σούπα,main,380,18,45,12,1,slow,easy,cheap,main|vegan|high-fiber|constipation-friendly|fasting|iron,Φακές:70:g|Ντομάτα:80:g|Ελαιόλαδο:10:ml,1. Βράστε τις φακές.|2. Προσθέστε ντομάτα και μυρωδικά.|3. Στο τέλος προσθέστε το λάδι.
Σπανακόρυζο,main,420,10,55,18,1,moderate,moderate,cheap,main|vegan|gluten-free|fasting|iron|constipation-friendly,Σπανάκι:150:g|Ρύζι Καστανό:60:g|Ελαιόλαδο:15:ml,1. Σοτάρετε το σπανάκι.|2. Προσθέστε ρύζι και νερό.|3. Σιγοβράστε μέχρι να πιει τα υγρά του.
Χωριάτικη Σαλάτα (Ατομική),main,450,16,15,35,1,very_fast,very_easy,moderate,main|vegetarian|gluten-free|raw,Ντομάτα:150:g|Αγγούρι:100:g|Φέτα:60:g|Ελαιόλαδο:15:ml,1. Κόψτε λαχανικά.|2. Προσθέστε τη φέτα.|3. Περιχύστε με ελαιόλαδο.
Σολομός με Μπρόκολο,main,480,35,8,32,1,fast,easy,expensive,main|high-protein|keto-friendly|gluten-free|nafld-friendly|omega-3,Σολομός:180:g|Μπρόκολο:200:g|Ελαιόλαδο:5:ml,1. Ψήστε το σολομό.|2. Βράστε το μπρόκολο.|3. Σερβίρετε με λεμόνι.
Γιαούρτι με Μπανάνα & Μέλι,snack,250,11,40,4,1,very_fast,very_easy,cheap,snack|vegetarian|easy-digest|energy,Γιαούρτι:150:g|Μπανάνα:100:g|Μέλι:5:g,1. Κόψτε τη μπανάνα.|2. Ανακατέψτε με γιαούρτι και μέλι.
